"UID";"Kundennummer";"KundenmaschineID";"TechnikerID";"TerminDatum";"TerminZeit";"Kalendereintrag";"ErstelltAm";"ErstelltVon";"AktualisiertAm";"AktualisiertVon"
"92d8bc00-5ed5-49f2-ba0b-37331c0a826e";"4552500000";"7e354aaf-2f32-437a-8488-ca6a14c27e0f";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-14 09:41:59";"2015-10-14 10:00:00";"\\david\david\archive\user\10028000\cal\I014C061.001";"2015-10-13 09:41:59";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 09:41:59";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"961f9a53-1610-49a7-b78b-29af4e409473";"5955900000";"d706cc8d-0f49-4766-bba4-6e6b0cc95326";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-13 16:52:14";"2015-10-13 10:00:00";"\\david\david\archive\user\10014000\cal\I046DCAA.001";"2015-10-12 16:52:14";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-12 16:52:14";"402f2948-7f19-4f09-9637-c28abab72dae"
"a27dd4a7-c2d2-4f27-9e9f-4f925247b822";"1000000000";"5b74e392-1aee-43d3-ac6d-15bb7042f09d";"25c8f90f-6159-4166-8669-62770bca6764";"2015-10-13 11:36:42";"2015-10-13 10:00:00";"\\david\david\archive\user\10050030\cal\I002957F.001";"2015-10-12 11:36:42";"25c8f90f-6159-4166-8669-62770bca6764";"2015-10-12 11:36:42";"25c8f90f-6159-4166-8669-62770bca6764"
"a62d5127-9d8a-470b-8e8d-35c816606ee7";"2672200000";"e4bcbc9e-d0d4-4fc1-b627-4ac70da9f34e";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 15:28:03";"2015-10-13 10:00:00";"\\david\david\archive\user\10028000\cal\I00824A5.001";"2015-10-12 15:28:03";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-12 15:28:03";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"ac75b714-6ba4-46f9-8e60-4ed50f562f2c";"4933200000";"fc747cc5-ed2f-46c2-b080-717389475538";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-14 09:44:32";"2015-10-14 10:00:00";"\\david\david\archive\user\10028000\cal\I52431CB.001";"2015-10-13 09:44:32";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 09:44:32";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"ae12f367-50bc-4fd7-bc45-a2297bbce8e5";"4816700000";"c8e5d399-a8bf-4b06-a4bb-169207337cba";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 16:56:32";"2015-10-13 10:00:00";"\\david\david\archive\user\10028000\cal\I003A234.001";"2015-10-12 16:56:32";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-12 16:56:32";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"b5567531-2642-4323-80df-7be3caf18003";"2672200000";"4ed83d1c-cf78-4e31-99b1-842b4d7c99ac";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 15:33:33";"2015-10-13 10:00:00";"\\david\david\archive\user\10028000\cal\I00824A5.001";"2015-10-12 15:33:33";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-12 15:33:33";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"c1361283-617a-49ed-98f3-bcaab8e66451";"4830400000";"b4cee5b6-f5af-4edf-808a-a1e52d97d0bd";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-10-14 11:56:56";"2015-10-14 10:00:00";"\\david\david\archive\user\1003C010\cal\I0112E83.001";"2015-10-13 11:56:56";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-10-13 11:56:56";"d4224429-749f-4ad0-8627-fcfb694816c7"
"c5198484-eb09-4345-ae8c-0ae81a566d23";"3767300000";"620fa31b-c3f1-4191-abdd-3f6369b99988";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-09-16 17:12:36";"2015-09-16 13:30:00";"\\david\david\archive\user\1003C010\cal\I5FEE049.001";"2015-09-17 16:52:59";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-09-17 16:52:59";"d4224429-749f-4ad0-8627-fcfb694816c7"
"ddd4e8d9-fb2d-4dda-8e2a-3c65771bb8d8";"1000000000";"8abd9f2f-6de5-4a14-b6f0-43c1f070ea1b";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-09-16 13:44:59";"2015-09-16 10:00:00";"\\david\david\archive\user\1003C010\cal\I5FEDD69.001";"2015-09-15 13:44:59";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-09-15 13:44:59";"d4224429-749f-4ad0-8627-fcfb694816c7"
"de9c43e8-eca6-462a-838f-9e9450edcee8";"3441400000";"d66f5996-cbb7-44f4-a471-63fc8fb0cad0";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-14 08:27:44";"2015-10-14 10:00:00";"\\david\david\archive\user\10014000\cal\I046DCB1.001";"2015-10-13 08:27:44";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-13 08:27:44";"402f2948-7f19-4f09-9637-c28abab72dae"
"e4d32440-9834-4ed7-890d-aa2a1a46919c";"4957600000";"5c245f46-f434-4ff7-bd73-669ae1abb416";"6997f82b-d2f4-44f8-8083-4b840c85202e";"2015-10-13 14:49:01";"2015-10-13 10:00:00";"\\david\david\archive\user\10010000\cal\I00295DC.001";"2015-10-12 14:49:01";"6997f82b-d2f4-44f8-8083-4b840c85202e";"2015-10-12 14:49:01";"6997f82b-d2f4-44f8-8083-4b840c85202e"
"e77eb3d2-f4f5-42b4-bc84-b1e29b5f5412";"4962600000";"c9ab5daf-e2a0-4966-9e04-6ef48d87a0cb";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-14 09:53:49";"2015-10-14 10:00:00";"\\david\david\archive\user\10014000\cal\I015421A.001";"2015-10-13 09:53:49";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-13 09:53:49";"402f2948-7f19-4f09-9637-c28abab72dae"
"e8aa31a6-4049-4b50-af1f-a693b63aa237";"4810500000";"c033b957-c43c-4da6-9d46-706837641534";"6997f82b-d2f4-44f8-8083-4b840c85202e";"2015-09-01 17:12:36";"2015-09-01 10:00:00";"\\david\david\archive\user\10010000\cal\I00295E4.001";"2015-10-12 16:21:55";"6997f82b-d2f4-44f8-8083-4b840c85202e";"2015-10-12 16:21:55";"6997f82b-d2f4-44f8-8083-4b840c85202e"
"e9d63265-0a8c-404f-aacd-ae421b54ceee";"5926900000";"999756d3-fdf4-4817-9ef4-d062d696262b";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-14 09:37:10";"2015-10-14 10:00:00";"\\david\david\archive\user\10028000\cal\I010D007.001";"2015-10-13 09:37:10";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 09:37:10";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"ecac00f1-57e7-452a-ae3c-69ddb5bd53b0";"4414300000";"60555b8d-0de0-4ad6-85eb-c40f13dc9a1c";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-14 09:51:06";"2015-10-14 10:00:00";"\\david\david\archive\user\10028000\cal\I014C06A.001";"2015-10-13 09:51:06";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 09:51:06";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"edf394e1-11f4-40df-8fa3-a08a7a308887";"3214300000";"1613f786-3b27-4d15-8ac0-9340b20094a6";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-12 17:12:36";"2015-10-12 10:00:00";"\\david\david\archive\user\10014000\cal\I00295A8.001";"2015-10-12 12:22:20";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-12 12:22:20";"402f2948-7f19-4f09-9637-c28abab72dae"
"ee6b9c48-60f7-4eb5-ab35-9b23ff6e8d2f";"4983400000";"fd17428f-f57f-4bfc-bffa-3b4e028a4c68";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-10-13 16:17:57";"2015-10-13 10:00:00";"\\david\david\archive\user\1003C010\cal\I007655B.001";"2015-10-12 16:17:57";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-10-12 16:17:57";"d4224429-749f-4ad0-8627-fcfb694816c7"
"eff78e13-5ff1-4db4-9d36-91635d88f3ed";"4919500000";"1eb9e940-c2b5-470c-b929-26bff997d316";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-09-30 18:25:01";"2015-09-30 10:00:00";"\\david\david\archive\user\1003C010\cal\I003A1FF.001";"2015-09-29 18:25:01";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-09-29 18:25:01";"d4224429-749f-4ad0-8627-fcfb694816c7"
"f5f13090-ec7f-48a2-85be-0ac77286424f";"4824400000";"6b43eb60-0d0c-47fc-b96d-80cf22480e08";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-14 09:52:02";"2015-10-14 10:00:00";"\\david\david\archive\user\10014000\cal\I61ECF91.001";"2015-10-13 09:52:02";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-13 09:52:02";"402f2948-7f19-4f09-9637-c28abab72dae"
"fb38c940-a5c9-4c17-89a6-69249e4088be";"4902400000";"6d2d62cc-3027-45e8-b734-67047accdb92";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-13 17:12:36";"2015-10-13 10:00:00";"\\david\david\archive\user\10028000\cal\I00295E2.001";"2015-10-12 16:10:17";"0ee9f2c4-101a-412b-aed6-d62621aa5822";"2015-10-12 16:10:17";"0ee9f2c4-101a-412b-aed6-d62621aa5822"
"fca4d212-5c54-468f-95ca-bc2752b2e132";"4531200000";"3ddd7c99-672a-4a82-af9d-66c70b6baa49";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-13 17:02:02";"2015-10-13 10:00:00";"";"2015-10-12 17:02:02";"402f2948-7f19-4f09-9637-c28abab72dae";"2015-10-12 17:02:02";"402f2948-7f19-4f09-9637-c28abab72dae"
"fe2d0ddc-ce3d-43fa-8675-bd55836bdc6e";"4814500000";"d10c2f61-3cbc-49f4-b895-d59a6de9b6be";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-10-14 11:58:01";"2015-10-14 10:00:00";"\\david\david\archive\user\1003C010\cal\I61ECFA8.001";"2015-10-13 11:58:01";"d4224429-749f-4ad0-8627-fcfb694816c7";"2015-10-13 11:58:01";"d4224429-749f-4ad0-8627-fcfb694816c7"
